保存loss
epoch= 0 sampleNo.= 0 minloss= 10 cross_entropy= tensor(16.2742, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0254, device='cuda:0')
epoch= 0 sampleNo.= 1 minloss= 10 cross_entropy= tensor(13.1226, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0609, device='cuda:0')
epoch= 0 sampleNo.= 2 minloss= 10 cross_entropy= tensor(12.2768, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0931, device='cuda:0')
epoch= 0 sampleNo.= 3 minloss= 10 cross_entropy= tensor(11.2625, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 4 minloss= 10 cross_entropy= tensor(11.6096, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 5 minloss= 10 cross_entropy= tensor(11.1879, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 6 minloss= 10 cross_entropy= tensor(10.8769, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 7 minloss= 10 cross_entropy= tensor(10.6622, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 8 minloss= 10 cross_entropy= tensor(11.2524, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 9 minloss= 10 cross_entropy= tensor(10.5246, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 10 minloss= 10 cross_entropy= tensor(10.3632, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 11 minloss= 10 cross_entropy= tensor(10.4616, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 12 minloss= 10 cross_entropy= tensor(10.4998, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 13 minloss= 10 cross_entropy= tensor(10.3116, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 14 minloss= 10 cross_entropy= tensor(10.6041, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 15 minloss= 10 cross_entropy= tensor(10.4902, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 16 minloss= 10 cross_entropy= tensor(10.3860, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 17 minloss= 10 cross_entropy= tensor(10.3126, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 18 minloss= 10 cross_entropy= tensor(10.1689, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 19 minloss= 10 cross_entropy= tensor(10.2318, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 20 minloss= 10 cross_entropy= tensor(10.6528, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 21 minloss= 10 cross_entropy= tensor(10.1550, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 22 minloss= 10 cross_entropy= tensor(10.3518, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 23 minloss= tensor(9.9585, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.9585, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 41 minloss= tensor(9.7029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.8474, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
epoch= 0 sampleNo.= 42 minloss= tensor(9.7029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.2240, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0263, device='cuda:0')
epoch= 0 sampleNo.= 43 minloss= tensor(9.7029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7730, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0054, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 44 minloss= tensor(9.5393, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5393, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1928, device='cuda:0')
epoch= 0 sampleNo.= 45 minloss= tensor(9.5393, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6168, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0694, device='cuda:0')
epoch= 0 sampleNo.= 46 minloss= tensor(9.5393, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.0554, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1214, device='cuda:0')
epoch= 0 sampleNo.= 47 minloss= tensor(9.5393, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.1739, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1573, device='cuda:0')
epoch= 0 sampleNo.= 48 minloss= tensor(9.5393, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.6849, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0495, device='cuda:0')
epoch= 0 sampleNo.= 49 minloss= tensor(9.5393, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.1172, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1811, device='cuda:0')
保存loss
epoch= 0 sampleNo.= 50 minloss= tensor(9.5393, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7882, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1656, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 51 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2760, device='cuda:0')
epoch= 0 sampleNo.= 52 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.3448, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2852, device='cuda:0')
epoch= 0 sampleNo.= 53 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.8780, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1813, device='cuda:0')
epoch= 0 sampleNo.= 54 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5490, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1951, device='cuda:0')
epoch= 0 sampleNo.= 55 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7549, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1781, device='cuda:0')
epoch= 0 sampleNo.= 56 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.3715, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3026, device='cuda:0')
epoch= 0 sampleNo.= 57 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.9488, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1644, device='cuda:0')
epoch= 0 sampleNo.= 58 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.9286, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1530, device='cuda:0')
epoch= 0 sampleNo.= 59 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7587, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1213, device='cuda:0')
epoch= 0 sampleNo.= 60 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.0142, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1268, device='cuda:0')
epoch= 0 sampleNo.= 61 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.2866, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2019, device='cuda:0')
epoch= 0 sampleNo.= 62 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.2504, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2430, device='cuda:0')
epoch= 0 sampleNo.= 63 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7812, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1415, device='cuda:0')
epoch= 0 sampleNo.= 64 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6599, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2016, device='cuda:0')
epoch= 0 sampleNo.= 65 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.3972, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2156, device='cuda:0')
epoch= 0 sampleNo.= 66 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.8922, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1871, device='cuda:0')
epoch= 0 sampleNo.= 67 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6775, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1233, device='cuda:0')
epoch= 0 sampleNo.= 68 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(11.1113, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0., device='cuda:0')
保存loss
epoch= 1 sampleNo.= 0 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6125, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2319, device='cuda:0')
epoch= 1 sampleNo.= 1 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.2402, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2399, device='cuda:0')
epoch= 1 sampleNo.= 2 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5686, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1542, device='cuda:0')
epoch= 1 sampleNo.= 3 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.9340, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1283, device='cuda:0')
epoch= 1 sampleNo.= 4 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5234, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1836, device='cuda:0')
epoch= 1 sampleNo.= 5 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.3710, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0718, device='cuda:0')
epoch= 1 sampleNo.= 6 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.8996, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1690, device='cuda:0')
epoch= 1 sampleNo.= 7 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6784, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2725, device='cuda:0')
epoch= 1 sampleNo.= 8 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7833, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2279, device='cuda:0')
epoch= 1 sampleNo.= 9 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.0138, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1583, device='cuda:0')
epoch= 1 sampleNo.= 10 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7447, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2117, device='cuda:0')
epoch= 1 sampleNo.= 11 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.1938, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1184, device='cuda:0')
epoch= 1 sampleNo.= 12 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.8165, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2292, device='cuda:0')
epoch= 1 sampleNo.= 13 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.5724, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.0679, device='cuda:0')
epoch= 1 sampleNo.= 14 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.8787, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1727, device='cuda:0')
epoch= 1 sampleNo.= 15 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6400, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1913, device='cuda:0')
epoch= 1 sampleNo.= 16 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7871, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1689, device='cuda:0')
epoch= 1 sampleNo.= 17 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6802, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2586, device='cuda:0')
epoch= 1 sampleNo.= 18 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.0867, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1542, device='cuda:0')
epoch= 1 sampleNo.= 19 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.9328, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1764, device='cuda:0')
epoch= 1 sampleNo.= 20 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.2132, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1483, device='cuda:0')
epoch= 1 sampleNo.= 21 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.5563, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1436, device='cuda:0')
epoch= 1 sampleNo.= 22 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.1293, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1581, device='cuda:0')
epoch= 1 sampleNo.= 23 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.3916, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3899, device='cuda:0')
epoch= 1 sampleNo.= 24 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.8281, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2806, device='cuda:0')
epoch= 1 sampleNo.= 25 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.9208, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2615, device='cuda:0')
epoch= 1 sampleNo.= 26 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.4178, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1775, device='cuda:0')
epoch= 1 sampleNo.= 27 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.3089, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3586, device='cuda:0')
epoch= 1 sampleNo.= 28 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.8718, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2355, device='cuda:0')
epoch= 1 sampleNo.= 29 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5677, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3616, device='cuda:0')
epoch= 1 sampleNo.= 30 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.3561, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3358, device='cuda:0')
epoch= 1 sampleNo.= 31 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.8280, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2357, device='cuda:0')
epoch= 1 sampleNo.= 32 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.7316, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2460, device='cuda:0')
epoch= 1 sampleNo.= 33 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.0016, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2163, device='cuda:0')
epoch= 1 sampleNo.= 34 minloss= tensor(9.1496, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5735, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2772, device='cuda:0')
保存参数 
epoch= 1 sampleNo.= 35 minloss= tensor(9.0561, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.0561, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4036, device='cuda:0')
epoch= 1 sampleNo.= 36 minloss= tensor(9.0561, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5500, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3034, device='cuda:0')
epoch= 1 sampleNo.= 37 minloss= tensor(9.0561, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5933, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3867, device='cuda:0')
epoch= 1 sampleNo.= 38 minloss= tensor(9.0561, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.9004, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2189, device='cuda:0')
epoch= 1 sampleNo.= 39 minloss= tensor(9.0561, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.6036, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3581, device='cuda:0')
epoch= 1 sampleNo.= 40 minloss= tensor(9.0561, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.3027, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3352, device='cuda:0')
epoch= 1 sampleNo.= 41 minloss= tensor(9.0561, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(9.5987, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.2667, device='cuda:0')
epoch= 1 sampleNo.= 42 minloss= tensor(9.0561, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(10.3138, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.1777, device='cuda:0')
