保存参数 
保存loss
epoch= 0 sampleNo.= 0 minloss= tensor(8.0140, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0140, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4938, device='cuda:0')
epoch= 0 sampleNo.= 18 minloss= tensor(7.4789, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7405, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5625, device='cuda:0')
epoch= 0 sampleNo.= 19 minloss= tensor(7.4789, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0371, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5071, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 20 minloss= tensor(7.3740, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.3740, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.6029, device='cuda:0')
epoch= 0 sampleNo.= 21 minloss= tensor(7.3740, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7465, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5501, device='cuda:0')
epoch= 0 sampleNo.= 22 minloss= tensor(7.3740, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0100, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4982, device='cuda:0')
epoch= 0 sampleNo.= 23 minloss= tensor(7.3740, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.5133, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4341, device='cuda:0')
epoch= 0 sampleNo.= 24 minloss= tensor(7.3740, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0494, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5024, device='cuda:0')
epoch= 0 sampleNo.= 25 minloss= tensor(7.3740, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0972, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4796, device='cuda:0')
保存参数 
epoch= 0 sampleNo.= 26 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.6425, device='cuda:0')
epoch= 0 sampleNo.= 27 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9654, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5106, device='cuda:0')
epoch= 0 sampleNo.= 28 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.4949, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5696, device='cuda:0')
epoch= 0 sampleNo.= 29 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5876, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5643, device='cuda:0')
epoch= 0 sampleNo.= 30 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8306, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5079, device='cuda:0')
epoch= 0 sampleNo.= 31 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1745, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4692, device='cuda:0')
epoch= 0 sampleNo.= 32 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2323, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4597, device='cuda:0')
epoch= 0 sampleNo.= 33 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.2342, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.6066, device='cuda:0')
epoch= 0 sampleNo.= 34 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8124, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5604, device='cuda:0')
epoch= 0 sampleNo.= 35 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1397, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4638, device='cuda:0')
epoch= 0 sampleNo.= 36 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9655, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5051, device='cuda:0')
epoch= 0 sampleNo.= 37 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5681, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5844, device='cuda:0')
epoch= 0 sampleNo.= 38 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8061, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5257, device='cuda:0')
epoch= 0 sampleNo.= 39 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3839, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4492, device='cuda:0')
epoch= 0 sampleNo.= 40 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1691, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4783, device='cuda:0')
epoch= 0 sampleNo.= 41 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1496, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4763, device='cuda:0')
epoch= 0 sampleNo.= 42 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.8051, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3539, device='cuda:0')
epoch= 0 sampleNo.= 43 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.5363, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4416, device='cuda:0')
epoch= 0 sampleNo.= 44 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.4224, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4237, device='cuda:0')
epoch= 0 sampleNo.= 45 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.1729, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.6304, device='cuda:0')
epoch= 0 sampleNo.= 46 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6277, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5470, device='cuda:0')
epoch= 0 sampleNo.= 47 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9151, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5238, device='cuda:0')
epoch= 0 sampleNo.= 48 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0439, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4753, device='cuda:0')
epoch= 0 sampleNo.= 49 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5488, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5595, device='cuda:0')
保存loss
epoch= 0 sampleNo.= 50 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8883, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4912, device='cuda:0')
epoch= 0 sampleNo.= 51 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2216, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4692, device='cuda:0')
epoch= 0 sampleNo.= 52 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6112, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5553, device='cuda:0')
epoch= 0 sampleNo.= 53 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0088, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4844, device='cuda:0')
epoch= 0 sampleNo.= 54 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5835, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5563, device='cuda:0')
epoch= 0 sampleNo.= 55 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3487, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4641, device='cuda:0')
epoch= 0 sampleNo.= 56 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0895, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4763, device='cuda:0')
epoch= 0 sampleNo.= 57 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.4010, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4804, device='cuda:0')
epoch= 0 sampleNo.= 58 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3186, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4513, device='cuda:0')
epoch= 0 sampleNo.= 59 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1726, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4990, device='cuda:0')
epoch= 0 sampleNo.= 60 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9474, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4858, device='cuda:0')
epoch= 0 sampleNo.= 61 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.4885, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5616, device='cuda:0')
epoch= 0 sampleNo.= 62 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3835, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4475, device='cuda:0')
epoch= 0 sampleNo.= 63 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.5119, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4043, device='cuda:0')
epoch= 0 sampleNo.= 64 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1323, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5057, device='cuda:0')
epoch= 0 sampleNo.= 65 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1463, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4848, device='cuda:0')
epoch= 0 sampleNo.= 66 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8438, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5114, device='cuda:0')
epoch= 0 sampleNo.= 67 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0908, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4742, device='cuda:0')
min_dice tensor(0.7640, device='cuda:0')
epoch= 0 sampleNo.= 68 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.4578, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.7640, device='cuda:0')
保存loss
epoch= 1 sampleNo.= 0 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.4732, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4381, device='cuda:0')
epoch= 1 sampleNo.= 1 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2546, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4588, device='cuda:0')
epoch= 1 sampleNo.= 2 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8616, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5103, device='cuda:0')
epoch= 1 sampleNo.= 3 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2254, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4802, device='cuda:0')
epoch= 1 sampleNo.= 4 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.5229, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4029, device='cuda:0')
epoch= 1 sampleNo.= 5 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.4674, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5892, device='cuda:0')
epoch= 1 sampleNo.= 6 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.3761, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5741, device='cuda:0')
epoch= 1 sampleNo.= 7 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1597, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4713, device='cuda:0')
epoch= 1 sampleNo.= 8 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7143, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5211, device='cuda:0')
epoch= 1 sampleNo.= 9 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2499, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4592, device='cuda:0')
epoch= 1 sampleNo.= 10 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.5541, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4232, device='cuda:0')
epoch= 1 sampleNo.= 11 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2546, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4645, device='cuda:0')
epoch= 1 sampleNo.= 12 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5585, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5716, device='cuda:0')
epoch= 1 sampleNo.= 13 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0625, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4751, device='cuda:0')
epoch= 1 sampleNo.= 14 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8828, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5243, device='cuda:0')
epoch= 1 sampleNo.= 15 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8416, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5239, device='cuda:0')
epoch= 1 sampleNo.= 16 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5849, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5754, device='cuda:0')
epoch= 1 sampleNo.= 17 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1842, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4955, device='cuda:0')
epoch= 1 sampleNo.= 18 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8446, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5059, device='cuda:0')
epoch= 1 sampleNo.= 19 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1334, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4705, device='cuda:0')
epoch= 1 sampleNo.= 20 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.5855, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3941, device='cuda:0')
epoch= 1 sampleNo.= 21 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9789, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5144, device='cuda:0')
epoch= 1 sampleNo.= 22 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0894, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4770, device='cuda:0')
epoch= 1 sampleNo.= 23 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.4697, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4279, device='cuda:0')
epoch= 1 sampleNo.= 24 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6085, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5576, device='cuda:0')
epoch= 1 sampleNo.= 25 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9140, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5293, device='cuda:0')
epoch= 1 sampleNo.= 26 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9622, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5120, device='cuda:0')
epoch= 1 sampleNo.= 27 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6671, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5522, device='cuda:0')
epoch= 1 sampleNo.= 28 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1846, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4511, device='cuda:0')
epoch= 1 sampleNo.= 29 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2242, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4450, device='cuda:0')
epoch= 1 sampleNo.= 30 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7637, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5586, device='cuda:0')
epoch= 1 sampleNo.= 31 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9085, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5199, device='cuda:0')
epoch= 1 sampleNo.= 32 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.6879, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3715, device='cuda:0')
epoch= 1 sampleNo.= 33 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2770, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4721, device='cuda:0')
epoch= 1 sampleNo.= 34 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1748, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4694, device='cuda:0')
epoch= 1 sampleNo.= 35 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1523, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4886, device='cuda:0')
epoch= 1 sampleNo.= 36 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.5551, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4245, device='cuda:0')
epoch= 1 sampleNo.= 37 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8359, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5078, device='cuda:0')
epoch= 1 sampleNo.= 38 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1880, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4862, device='cuda:0')
epoch= 1 sampleNo.= 39 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1542, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4714, device='cuda:0')
epoch= 1 sampleNo.= 40 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9982, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5028, device='cuda:0')
epoch= 1 sampleNo.= 41 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9842, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4931, device='cuda:0')
epoch= 1 sampleNo.= 42 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0029, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4915, device='cuda:0')
epoch= 1 sampleNo.= 43 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8008, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5144, device='cuda:0')
epoch= 1 sampleNo.= 44 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9093, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4958, device='cuda:0')
epoch= 1 sampleNo.= 45 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8737, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5322, device='cuda:0')
epoch= 1 sampleNo.= 46 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8965, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5410, device='cuda:0')
epoch= 1 sampleNo.= 47 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.8606, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3319, device='cuda:0')
epoch= 1 sampleNo.= 48 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9203, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5130, device='cuda:0')
epoch= 1 sampleNo.= 49 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.4604, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5946, device='cuda:0')
保存loss
epoch= 1 sampleNo.= 50 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.3978, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.6155, device='cuda:0')
epoch= 1 sampleNo.= 51 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.6464, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3731, device='cuda:0')
epoch= 1 sampleNo.= 52 minloss= tensor(7.0640, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5575, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5637, device='cuda:0')
