保存参数 
保存loss
epoch= 0 sampleNo.= 0 minloss= tensor(8.0805, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0805, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4651, device='cuda:0')
epoch= 0 sampleNo.= 18 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.4624, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4197, device='cuda:0')
epoch= 0 sampleNo.= 19 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8546, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5338, device='cuda:0')
epoch= 0 sampleNo.= 20 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2812, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4315, device='cuda:0')
epoch= 0 sampleNo.= 21 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5430, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5752, device='cuda:0')
epoch= 0 sampleNo.= 22 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1371, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4863, device='cuda:0')
epoch= 0 sampleNo.= 23 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7311, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5536, device='cuda:0')
epoch= 0 sampleNo.= 24 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9875, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4804, device='cuda:0')
epoch= 0 sampleNo.= 25 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1008, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4520, device='cuda:0')
epoch= 0 sampleNo.= 26 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1850, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4467, device='cuda:0')
保存loss
epoch= 1 sampleNo.= 0 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2642, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4568, device='cuda:0')
epoch= 1 sampleNo.= 1 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0654, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4934, device='cuda:0')
epoch= 1 sampleNo.= 2 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8601, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5049, device='cuda:0')
epoch= 1 sampleNo.= 3 minloss= tensor(7.2029, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7298, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5562, device='cuda:0')
保存参数 
epoch= 1 sampleNo.= 4 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.6212, device='cuda:0')
epoch= 1 sampleNo.= 5 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8135, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5316, device='cuda:0')
epoch= 1 sampleNo.= 6 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.1745, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.6391, device='cuda:0')
epoch= 1 sampleNo.= 7 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1647, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4600, device='cuda:0')
epoch= 1 sampleNo.= 8 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9846, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4906, device='cuda:0')
epoch= 1 sampleNo.= 9 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2584, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4486, device='cuda:0')
epoch= 1 sampleNo.= 10 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5482, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5658, device='cuda:0')
epoch= 1 sampleNo.= 11 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9218, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4944, device='cuda:0')
epoch= 1 sampleNo.= 12 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.5476, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3851, device='cuda:0')
epoch= 1 sampleNo.= 13 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9647, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5022, device='cuda:0')
epoch= 1 sampleNo.= 14 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9021, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5132, device='cuda:0')
epoch= 1 sampleNo.= 15 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6087, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5683, device='cuda:0')
epoch= 1 sampleNo.= 16 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2316, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4366, device='cuda:0')
epoch= 1 sampleNo.= 17 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0726, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4994, device='cuda:0')
epoch= 1 sampleNo.= 18 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1477, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4557, device='cuda:0')
epoch= 1 sampleNo.= 19 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9538, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4893, device='cuda:0')
epoch= 1 sampleNo.= 20 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7075, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5256, device='cuda:0')
epoch= 1 sampleNo.= 21 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8474, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5271, device='cuda:0')
epoch= 1 sampleNo.= 22 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0932, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4753, device='cuda:0')
epoch= 1 sampleNo.= 23 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6308, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5508, device='cuda:0')
epoch= 1 sampleNo.= 24 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.3581, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5996, device='cuda:0')
epoch= 1 sampleNo.= 25 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6520, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5433, device='cuda:0')
epoch= 1 sampleNo.= 26 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2930, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4439, device='cuda:0')
保存loss
epoch= 2 sampleNo.= 0 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7100, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5482, device='cuda:0')
epoch= 2 sampleNo.= 1 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5825, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5724, device='cuda:0')
epoch= 2 sampleNo.= 2 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.4316, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4180, device='cuda:0')
epoch= 2 sampleNo.= 3 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9350, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4960, device='cuda:0')
epoch= 2 sampleNo.= 4 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1539, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4585, device='cuda:0')
epoch= 2 sampleNo.= 5 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5368, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5698, device='cuda:0')
epoch= 2 sampleNo.= 6 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.3877, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5840, device='cuda:0')
epoch= 2 sampleNo.= 7 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2294, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4542, device='cuda:0')
epoch= 2 sampleNo.= 8 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.3206, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5977, device='cuda:0')
epoch= 2 sampleNo.= 9 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5803, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5700, device='cuda:0')
epoch= 2 sampleNo.= 10 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1173, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4706, device='cuda:0')
epoch= 2 sampleNo.= 11 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5581, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5754, device='cuda:0')
epoch= 2 sampleNo.= 12 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.4813, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5976, device='cuda:0')
epoch= 2 sampleNo.= 13 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6126, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5516, device='cuda:0')
epoch= 2 sampleNo.= 14 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0945, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4901, device='cuda:0')
epoch= 2 sampleNo.= 15 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.8455, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3249, device='cuda:0')
epoch= 2 sampleNo.= 16 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0128, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4923, device='cuda:0')
epoch= 2 sampleNo.= 17 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.5028, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4117, device='cuda:0')
epoch= 2 sampleNo.= 18 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2114, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4638, device='cuda:0')
epoch= 2 sampleNo.= 19 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7760, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5587, device='cuda:0')
epoch= 2 sampleNo.= 20 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0404, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4721, device='cuda:0')
epoch= 2 sampleNo.= 21 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5263, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5698, device='cuda:0')
epoch= 2 sampleNo.= 22 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2376, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4518, device='cuda:0')
epoch= 2 sampleNo.= 23 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0918, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4682, device='cuda:0')
epoch= 2 sampleNo.= 24 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8754, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5077, device='cuda:0')
epoch= 2 sampleNo.= 25 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8103, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5048, device='cuda:0')
epoch= 2 sampleNo.= 26 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8846, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5303, device='cuda:0')
保存loss
epoch= 3 sampleNo.= 0 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8485, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5084, device='cuda:0')
epoch= 3 sampleNo.= 1 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5459, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5527, device='cuda:0')
epoch= 3 sampleNo.= 2 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3348, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4329, device='cuda:0')
epoch= 3 sampleNo.= 3 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1354, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4604, device='cuda:0')
epoch= 3 sampleNo.= 4 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7228, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5523, device='cuda:0')
epoch= 3 sampleNo.= 5 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2819, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4497, device='cuda:0')
epoch= 3 sampleNo.= 6 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.6274, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.3652, device='cuda:0')
epoch= 3 sampleNo.= 7 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.4477, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5882, device='cuda:0')
epoch= 3 sampleNo.= 8 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7781, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5303, device='cuda:0')
epoch= 3 sampleNo.= 9 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.2911, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4281, device='cuda:0')
epoch= 3 sampleNo.= 10 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6710, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5774, device='cuda:0')
epoch= 3 sampleNo.= 11 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3730, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4349, device='cuda:0')
epoch= 3 sampleNo.= 12 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9968, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4728, device='cuda:0')
epoch= 3 sampleNo.= 13 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.4194, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5800, device='cuda:0')
epoch= 3 sampleNo.= 14 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7720, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5560, device='cuda:0')
epoch= 3 sampleNo.= 15 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6770, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5486, device='cuda:0')
epoch= 3 sampleNo.= 16 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8778, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5060, device='cuda:0')
epoch= 3 sampleNo.= 17 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.6263, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5457, device='cuda:0')
epoch= 3 sampleNo.= 18 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0799, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4769, device='cuda:0')
epoch= 3 sampleNo.= 19 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9518, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5029, device='cuda:0')
epoch= 3 sampleNo.= 20 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0450, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4796, device='cuda:0')
epoch= 3 sampleNo.= 21 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3949, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4250, device='cuda:0')
epoch= 3 sampleNo.= 22 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9304, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4956, device='cuda:0')
epoch= 3 sampleNo.= 23 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.0953, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4739, device='cuda:0')
epoch= 3 sampleNo.= 24 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9104, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5166, device='cuda:0')
epoch= 3 sampleNo.= 25 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8752, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5097, device='cuda:0')
epoch= 3 sampleNo.= 26 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.2609, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.6053, device='cuda:0')
保存loss
epoch= 4 sampleNo.= 0 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.7342, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5223, device='cuda:0')
epoch= 4 sampleNo.= 1 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8504, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5229, device='cuda:0')
epoch= 4 sampleNo.= 2 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9578, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5084, device='cuda:0')
epoch= 4 sampleNo.= 3 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8765, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5015, device='cuda:0')
epoch= 4 sampleNo.= 4 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1487, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4947, device='cuda:0')
epoch= 4 sampleNo.= 5 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5512, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5591, device='cuda:0')
epoch= 4 sampleNo.= 6 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9067, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4956, device='cuda:0')
epoch= 4 sampleNo.= 7 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9931, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4967, device='cuda:0')
epoch= 4 sampleNo.= 8 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1258, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4907, device='cuda:0')
epoch= 4 sampleNo.= 9 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.1658, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4558, device='cuda:0')
epoch= 4 sampleNo.= 10 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.8529, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5400, device='cuda:0')
epoch= 4 sampleNo.= 11 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(8.3450, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4363, device='cuda:0')
epoch= 4 sampleNo.= 12 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.9625, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.4780, device='cuda:0')
epoch= 4 sampleNo.= 13 minloss= tensor(7.1689, device='cuda:0', grad_fn=<AddBackward0>) cross_entropy= tensor(7.5693, device='cuda:0', grad_fn=<AddBackward0>) dice= tensor(0.5605, device='cuda:0')
